label,teamlabel,bpLabel,height,number
Ananias Eloi Castro Monteiro,Associação Chapecoense de Futebol,"São Luís, Maranhão",1.69,11
Antony Lopez Peralta,AS Cherbourg Football,Royan,1.7,18
Arno Kozelsky,FC Kärnten,Liebenfels,1.85,11
Alexander Fransson,FC Basel,Norrköping,1.8,15
Ante Rožić,Croatia national under-20 football team,Australia,1.9,3
Bouna Sarr,Olympique de Marseille,France,1.77,17
Asmir Suljić,Bosnia and Herzegovina national under-21 football team,Srebrenica,1.71,99
Ardian Rexhepi,Ängelholms FF,Sweden,1.7,13
Austin Berry (soccer),FC Anyang,"Cincinnati, Ohio",1.8796,22
Bruno Meneghel,Club de Regatas Vasco da Gama,"Vitória, Espírito Santo",1.68,37
